record_id,problem_a,problem_b,category_a,category_b,description_a,description_b,location,distance_km,time_difference_hours,severity_a,severity_b,nearby_frequency,text_similarity,relationship,dependency_strength,dependency_label
NEG_1239,Water Leakage,Emergency Response Delay,Water,Emergency,continuous water leakage,emergency vehicles cannot move quickly,Mylapore,0.87,93.3,CRITICAL,HIGH,13,0.173,NO_DEPENDENCY,0.276,0
NEG_1047,Illegal Dumping,Safety Risk,Waste,Safety,garbage dumped beside road,safety risk reported,Adyar,7.57,41.3,HIGH,MEDIUM,2,0.157,NO_DEPENDENCY,0.159,0
POS_0045,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,severe congestion reported,emergency access is difficult,Tambaram,1.96,28.0,CRITICAL,CRITICAL,15,0.797,CAUSES,0.779,1
POS_0290,Road Blockage,Traffic Congestion,Road,Traffic,road passage is blocked,traffic is moving slowly,Mylapore,1.19,5.4,MEDIUM,LOW,4,0.754,CAUSES,0.768,1
POS_0913,Waterlogging,Road Blockage,Flooding,Road,standing rainwater on the street,traffic lane is obstructed,Anna Nagar,3.58,6.5,MEDIUM,LOW,1,0.632,CAUSES,0.682,1
NEG_0584,Illegal Dumping,Road Blockage,Waste,Road,open dumping observed,road is partially blocked,Adyar,0.71,3.4,LOW,MEDIUM,8,0.098,NO_DEPENDENCY,0.306,0
POS_1361,Pothole / Road Damage,Traffic Congestion,Road,Traffic,multiple potholes reported,vehicles are queued,Royapettah,1.74,43.5,HIGH,CRITICAL,2,0.651,CONTRIBUTES_TO,0.668,1
NEG_1396,Safety Risk,Pothole / Road Damage,Safety,Road,area has become unsafe,damaged road section,Perambur,6.06,16.4,MEDIUM,MEDIUM,14,0.324,NO_DEPENDENCY,0.313,0
NEG_1104,Traffic Congestion,Illegal Dumping,Traffic,Waste,vehicles are queued,garbage dumped beside road,Kodambakkam,2.92,32.0,MEDIUM,CRITICAL,1,0.166,NO_DEPENDENCY,0.234,0
POS_1227,Street Light Failure,Poor Road Visibility,Lighting,Safety,streetlights are off,visibility on road is poor,T Nagar,0.95,32.1,HIGH,LOW,4,0.661,CAUSES,0.735,1
POS_0297,Pothole / Road Damage,Poor Road Visibility,Road,Safety,road surface is badly damaged,low visibility reported,Velachery,3.81,20.1,LOW,LOW,15,0.925,CONTRIBUTES_TO,0.606,1
POS_1242,Waterlogging,Road Blockage,Flooding,Road,road is flooded,traffic lane is obstructed,Mylapore,1.13,16.0,CRITICAL,LOW,19,0.704,CAUSES,0.84,1
POS_1006,Stagnant Water,Public Health Risk,Public Health,Health,stagnant water remains,possible health hazard,Sholinganallur,3.73,31.1,CRITICAL,LOW,12,0.962,CAUSES,0.772,1
NEG_0166,Water Leakage,Traffic Congestion,Water,Traffic,water pipe is leaking,traffic flow is disrupted,Pallavaram,3.93,63.5,LOW,MEDIUM,6,0.336,NO_DEPENDENCY,0.269,0
POS_0747,Street Light Failure,Poor Road Visibility,Lighting,Safety,dark street due to light failure,visibility on road is poor,Guindy,1.73,35.5,MEDIUM,HIGH,17,0.506,CAUSES,0.687,1
NEG_1352,Poor Road Visibility,Waterlogging,Safety,Flooding,drivers cannot see clearly,water has accumulated on the road,Thiruvanmiyur,7.38,8.6,MEDIUM,MEDIUM,12,0.175,NO_DEPENDENCY,0.245,0
POS_0292,Pothole / Road Damage,Poor Road Visibility,Road,Safety,road surface is badly damaged,drivers cannot see clearly,T Nagar,3.26,13.4,LOW,LOW,12,0.491,CONTRIBUTES_TO,0.535,1
POS_0782,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic is moving slowly,emergency access is difficult,Adyar,0.53,11.8,HIGH,MEDIUM,2,0.631,CAUSES,0.747,1
NEG_0645,Safety Risk,Public Health Risk,Safety,Health,safety risk reported,possible health hazard,Mylapore,2.14,36.7,CRITICAL,MEDIUM,12,0.424,NO_DEPENDENCY,0.375,0
POS_0323,Garbage Accumulation,Public Health Risk,Waste,Health,waste has built up,possible health hazard,T Nagar,2.69,29.6,CRITICAL,MEDIUM,1,0.706,CAUSES,0.713,1
POS_0299,Garbage Accumulation,Public Health Risk,Waste,Health,garbage has accumulated,possible health hazard,Thiruvanmiyur,2.06,11.6,LOW,MEDIUM,5,0.95,CAUSES,0.738,1
POS_1299,Waterlogging,Road Blockage,Flooding,Road,standing rainwater on the street,traffic lane is obstructed,Guindy,3.22,43.9,MEDIUM,HIGH,9,0.801,CAUSES,0.693,1
POS_0195,Sewer Overflow,Stagnant Water,Drainage,Public Health,dirty wastewater is spreading,stagnant water remains,Guindy,4.08,11.2,CRITICAL,HIGH,4,0.573,CAUSES,0.705,1
POS_0064,Garbage Accumulation,Air Pollution,Waste,Environment,large pile of waste reported,polluted air reported,Kodambakkam,3.3,13.2,HIGH,CRITICAL,3,0.901,CONTRIBUTES_TO,0.692,1
POS_0394,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic is moving slowly,emergency access is difficult,Ambattur,4.08,29.7,HIGH,CRITICAL,2,0.779,CAUSES,0.663,1
POS_0728,Illegal Dumping,Waterlogging,Waste,Flooding,garbage dumped beside road,heavy waterlogging reported,Pallavaram,2.82,31.2,LOW,MEDIUM,14,0.688,CONTRIBUTES_TO,0.586,1
NEG_0084,Sewer Overflow,Water Leakage,Drainage,Water,sewer line has overflowed,water pipe is leaking,Porur,6.38,14.6,LOW,LOW,9,0.045,NO_DEPENDENCY,0.201,0
NEG_0048,Poor Road Visibility,Waterlogging,Safety,Flooding,drivers cannot see clearly,water has accumulated on the road,Velachery,7.93,62.4,LOW,HIGH,6,0.403,NO_DEPENDENCY,0.23,0
NEG_0926,Blocked Drain,Sewer Overflow,Drainage,Drainage,blocked drainage outlet,dirty wastewater is spreading,T Nagar,4.91,26.6,CRITICAL,CRITICAL,5,0.276,NO_DEPENDENCY,0.262,0
POS_0015,Pothole / Road Damage,Poor Road Visibility,Road,Safety,large pothole on the road,visibility on road is poor,Pallavaram,1.67,47.3,LOW,MEDIUM,8,0.878,CONTRIBUTES_TO,0.595,1
NEG_1068,Poor Road Visibility,Sewer Overflow,Safety,Drainage,low visibility reported,sewer water is overflowing,Royapettah,7.86,93.8,LOW,MEDIUM,7,0.288,NO_DEPENDENCY,0.175,0
NEG_0101,Poor Road Visibility,Stagnant Water,Safety,Public Health,drivers cannot see clearly,standing water is not clearing,Sholinganallur,0.77,79.9,CRITICAL,LOW,15,0.026,NO_DEPENDENCY,0.255,0
POS_1091,Poor Road Visibility,Safety Risk,Safety,Safety,low visibility reported,area has become unsafe,Ambattur,3.09,13.5,HIGH,HIGH,18,0.979,CONTRIBUTES_TO,0.766,1
NEG_0612,Water Leakage,Street Light Failure,Water,Lighting,pipeline leak near street,dark street due to light failure,Tambaram,4.38,72.1,CRITICAL,LOW,4,0.183,NO_DEPENDENCY,0.199,0
POS_0204,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic flow is disrupted,emergency vehicles cannot move quickly,Mylapore,4.31,23.2,HIGH,CRITICAL,20,0.691,CAUSES,0.693,1
NEG_0919,Road Blockage,Sewer Overflow,Road,Drainage,vehicle movement is obstructed,sewage overflow reported,Tambaram,5.31,84.6,CRITICAL,CRITICAL,5,0.356,NO_DEPENDENCY,0.232,0
POS_0153,Waterlogging,Road Blockage,Flooding,Road,road is flooded,road passage is blocked,Mylapore,0.26,20.4,LOW,LOW,15,0.871,CAUSES,0.804,1
NEG_1402,Garbage Accumulation,Water Leakage,Waste,Water,large pile of waste reported,pipeline leak near street,Guindy,7.03,18.1,CRITICAL,MEDIUM,0,0.221,NO_DEPENDENCY,0.196,0
POS_1360,Pothole / Road Damage,Traffic Congestion,Road,Traffic,road surface is badly damaged,traffic is moving slowly,Anna Nagar,3.39,36.6,HIGH,LOW,3,0.693,CONTRIBUTES_TO,0.648,1
POS_0773,Garbage Accumulation,Public Health Risk,Waste,Health,garbage has accumulated,disease risk is increasing,Nungambakkam,4.38,18.4,MEDIUM,LOW,13,0.769,CAUSES,0.679,1
NEG_1179,Air Pollution,Street Light Failure,Environment,Lighting,dust and pollution are increasing,dark street due to light failure,Tambaram,3.92,89.8,LOW,MEDIUM,7,0.443,NO_DEPENDENCY,0.284,0
POS_1002,Pothole / Road Damage,Traffic Congestion,Road,Traffic,damaged road section,traffic flow is disrupted,Kodambakkam,2.19,45.8,HIGH,CRITICAL,18,0.635,CONTRIBUTES_TO,0.691,1
POS_0719,Waterlogging,Road Blockage,Flooding,Road,standing rainwater on the street,vehicle movement is obstructed,Perambur,1.9,34.0,CRITICAL,HIGH,15,0.616,CAUSES,0.768,1
POS_0613,Road Blockage,Traffic Congestion,Road,Traffic,road is partially blocked,traffic is moving slowly,Porur,3.56,18.1,LOW,CRITICAL,1,0.696,CAUSES,0.647,1
POS_0843,Street Light Failure,Poor Road Visibility,Lighting,Safety,roadside light has failed,dark road section,Pallavaram,0.93,20.6,HIGH,CRITICAL,10,0.771,CAUSES,0.788,1
POS_0267,Stagnant Water,Public Health Risk,Public Health,Health,standing water is not clearing,disease risk is increasing,T Nagar,2.45,15.9,HIGH,LOW,10,0.823,CAUSES,0.767,1
POS_0052,Street Light Failure,Poor Road Visibility,Lighting,Safety,street light is not working,drivers cannot see clearly,Royapettah,0.73,10.7,CRITICAL,CRITICAL,11,0.67,CAUSES,0.814,1
POS_1196,Blocked Drain,Waterlogging,Drainage,Flooding,blocked drainage outlet,standing rainwater on the street,Royapettah,0.7,46.9,CRITICAL,LOW,4,0.788,CAUSES,0.815,1
POS_1271,Sewer Overflow,Stagnant Water,Drainage,Public Health,sewage overflow reported,stagnant water remains,Guindy,0.7,35.5,LOW,MEDIUM,13,0.901,CAUSES,0.769,1
POS_1492,Street Light Failure,Poor Road Visibility,Lighting,Safety,street light is not working,drivers cannot see clearly,Tambaram,2.46,17.7,HIGH,HIGH,14,0.844,CAUSES,0.779,1
NEG_0083,Blocked Drain,Traffic Congestion,Drainage,Traffic,stormwater drain is blocked,traffic flow is disrupted,Anna Nagar,5.57,33.4,HIGH,HIGH,15,0.294,NO_DEPENDENCY,0.302,0
POS_0522,Street Light Failure,Poor Road Visibility,Lighting,Safety,roadside light has failed,low visibility reported,Kodambakkam,3.31,4.8,LOW,CRITICAL,12,0.824,CAUSES,0.716,1
NEG_0195,Safety Risk,Blocked Drain,Safety,Drainage,risk to pedestrians and vehicles,stormwater drain is blocked,Tambaram,4.22,79.1,LOW,LOW,5,0.252,NO_DEPENDENCY,0.221,0
NEG_1164,Stagnant Water,Illegal Dumping,Public Health,Waste,stagnant water remains,open dumping observed,Pallavaram,5.69,60.4,HIGH,LOW,3,0.218,NO_DEPENDENCY,0.195,0
NEG_1249,Emergency Response Delay,Pothole / Road Damage,Emergency,Road,emergency vehicles cannot move quickly,damaged road section,T Nagar,2.71,58.8,HIGH,LOW,1,0.386,NO_DEPENDENCY,0.281,0
NEG_0422,Traffic Congestion,Garbage Accumulation,Traffic,Waste,traffic is moving slowly,waste has built up,Porur,3.8,29.2,MEDIUM,CRITICAL,10,0.217,NO_DEPENDENCY,0.284,0
POS_0103,Water Leakage,Stagnant Water,Water,Public Health,water pipe is leaking,water is collecting,Velachery,2.28,13.4,HIGH,HIGH,16,0.537,CAUSES,0.721,1
POS_0696,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,traffic flow is disrupted,emergency vehicles cannot move quickly,Perambur,4.26,39.1,CRITICAL,MEDIUM,16,0.591,CAUSES,0.667,1
NEG_0833,Safety Risk,Emergency Response Delay,Safety,Emergency,area has become unsafe,emergency access is difficult,Mylapore,5.92,61.1,LOW,MEDIUM,5,0.257,NO_DEPENDENCY,0.212,0
NEG_1225,Road Blockage,Emergency Response Delay,Road,Emergency,road passage is blocked,response time is increasing,Velachery,0.93,73.0,LOW,HIGH,3,0.242,NO_DEPENDENCY,0.263,0
NEG_0773,Stagnant Water,Pothole / Road Damage,Public Health,Road,water is collecting,damaged road section,Guindy,0.7,69.9,HIGH,HIGH,8,0.11,NO_DEPENDENCY,0.254,0
NEG_0983,Pothole / Road Damage,Emergency Response Delay,Road,Emergency,large pothole on the road,emergency access is difficult,Sholinganallur,3.94,50.7,CRITICAL,CRITICAL,3,0.029,NO_DEPENDENCY,0.172,0
NEG_0343,Public Health Risk,Blocked Drain,Health,Drainage,possible health hazard,stormwater drain is blocked,Velachery,3.99,31.6,LOW,HIGH,9,0.388,NO_DEPENDENCY,0.325,0
NEG_0331,Pothole / Road Damage,Air Pollution,Road,Environment,road surface is badly damaged,air quality is affected,Perambur,3.81,81.6,LOW,HIGH,13,0.104,NO_DEPENDENCY,0.221,0
POS_0795,Blocked Drain,Waterlogging,Drainage,Flooding,drain is clogged,heavy waterlogging reported,Perambur,0.94,14.0,MEDIUM,HIGH,9,0.566,CAUSES,0.773,1
NEG_0321,Street Light Failure,Water Leakage,Lighting,Water,dark street due to light failure,continuous water leakage,Adyar,1.31,75.9,CRITICAL,HIGH,12,0.18,NO_DEPENDENCY,0.281,0
NEG_0502,Sewer Overflow,Safety Risk,Drainage,Safety,sewer water is overflowing,risk to pedestrians and vehicles,Mylapore,2.77,84.6,LOW,LOW,0,0.347,NO_DEPENDENCY,0.242,0
POS_0145,Road Blockage,Traffic Congestion,Road,Traffic,traffic lane is obstructed,vehicles are queued,Mylapore,0.85,33.4,CRITICAL,LOW,6,0.781,CAUSES,0.798,1
NEG_1026,Illegal Dumping,Emergency Response Delay,Waste,Emergency,unauthorized dumping reported,emergency movement is delayed,Velachery,5.5,21.9,CRITICAL,MEDIUM,12,0.276,NO_DEPENDENCY,0.292,0
POS_1331,Sewer Overflow,Stagnant Water,Drainage,Public Health,sewage overflow reported,pool of water has remained,Tambaram,3.12,3.8,CRITICAL,LOW,6,0.511,CAUSES,0.732,1
NEG_0978,Public Health Risk,Waterlogging,Health,Flooding,disease risk is increasing,water has accumulated on the road,Ambattur,4.89,95.1,CRITICAL,HIGH,6,0.337,NO_DEPENDENCY,0.229,0
NEG_1382,Emergency Response Delay,Public Health Risk,Emergency,Health,emergency vehicles cannot move quickly,sanitation may affect public health,T Nagar,5.12,73.9,MEDIUM,LOW,14,0.399,NO_DEPENDENCY,0.301,0
POS_0322,Pothole / Road Damage,Traffic Congestion,Road,Traffic,road surface is badly damaged,traffic is moving slowly,Velachery,0.14,12.9,MEDIUM,CRITICAL,11,0.506,CONTRIBUTES_TO,0.719,1
POS_1262,Road Blockage,Traffic Congestion,Road,Traffic,road is partially blocked,vehicles are queued,Royapettah,2.36,7.2,LOW,MEDIUM,2,0.699,CAUSES,0.695,1
NEG_0915,Road Blockage,Poor Road Visibility,Road,Safety,traffic lane is obstructed,low visibility reported,Perambur,6.93,10.3,MEDIUM,LOW,6,0.441,NO_DEPENDENCY,0.3,0
POS_1270,Street Light Failure,Poor Road Visibility,Lighting,Safety,streetlights are off,low visibility reported,Nungambakkam,2.98,16.1,HIGH,MEDIUM,19,0.966,CAUSES,0.805,1
NEG_0261,Blocked Drain,Sewer Overflow,Drainage,Drainage,rainwater drain is not flowing,sewer line has overflowed,T Nagar,4.68,90.2,MEDIUM,HIGH,12,0.041,NO_DEPENDENCY,0.177,0
POS_0417,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,vehicles are queued,emergency movement is delayed,Pallavaram,0.72,8.0,MEDIUM,CRITICAL,4,0.769,CAUSES,0.755,1
NEG_1132,Traffic Congestion,Blocked Drain,Traffic,Drainage,severe congestion reported,stormwater drain is blocked,Sholinganallur,7.03,71.0,MEDIUM,MEDIUM,2,0.151,NO_DEPENDENCY,0.141,0
NEG_0792,Air Pollution,Street Light Failure,Environment,Lighting,polluted air reported,streetlights are off,Adyar,7.2,92.3,LOW,CRITICAL,7,0.179,NO_DEPENDENCY,0.154,0
POS_0175,Garbage Accumulation,Air Pollution,Waste,Environment,large pile of waste reported,polluted air reported,Anna Nagar,4.16,2.5,LOW,HIGH,3,0.908,CONTRIBUTES_TO,0.637,1
NEG_0226,Illegal Dumping,Air Pollution,Waste,Environment,open dumping observed,polluted air reported,Pallavaram,6.42,62.1,LOW,LOW,0,0.447,NO_DEPENDENCY,0.236,0
NEG_0676,Blocked Drain,Public Health Risk,Drainage,Health,drain is clogged,possible health hazard,Velachery,3.92,27.6,CRITICAL,LOW,9,0.326,NO_DEPENDENCY,0.311,0
POS_0046,Sewer Overflow,Stagnant Water,Drainage,Public Health,sewer line has overflowed,standing water is not clearing,Perambur,0.43,25.0,LOW,MEDIUM,11,0.785,CAUSES,0.762,1
POS_0686,Pothole / Road Damage,Poor Road Visibility,Road,Safety,damaged road section,dark road section,Porur,3.66,6.3,CRITICAL,LOW,15,0.909,CONTRIBUTES_TO,0.701,1
NEG_0108,Emergency Response Delay,Water Leakage,Emergency,Water,emergency movement is delayed,continuous water leakage,Velachery,1.27,3.8,CRITICAL,CRITICAL,15,0.363,NO_DEPENDENCY,0.412,0
POS_1232,Garbage Accumulation,Air Pollution,Waste,Environment,uncollected garbage is present,polluted air reported,Ambattur,4.08,34.7,CRITICAL,LOW,7,0.685,CONTRIBUTES_TO,0.634,1
POS_0863,Blocked Drain,Waterlogging,Drainage,Flooding,blocked drainage outlet,road is flooded,Mylapore,4.44,46.0,HIGH,LOW,1,0.881,CAUSES,0.709,1
NEG_0466,Street Light Failure,Emergency Response Delay,Lighting,Emergency,dark street due to light failure,emergency vehicles cannot move quickly,Thiruvanmiyur,2.12,91.9,MEDIUM,CRITICAL,4,0.284,NO_DEPENDENCY,0.247,0
POS_0332,Waterlogging,Road Blockage,Flooding,Road,road is flooded,road passage is blocked,Royapettah,1.78,19.4,CRITICAL,LOW,9,0.623,CAUSES,0.778,1
POS_0094,Street Light Failure,Poor Road Visibility,Lighting,Safety,streetlights are off,visibility on road is poor,T Nagar,0.45,47.0,CRITICAL,MEDIUM,4,0.853,CAUSES,0.79,1
NEG_0142,Poor Road Visibility,Blocked Drain,Safety,Drainage,dark road section,blocked drainage outlet,Tambaram,7.65,83.2,CRITICAL,CRITICAL,13,0.271,NO_DEPENDENCY,0.212,0
NEG_1487,Water Leakage,Pothole / Road Damage,Water,Road,water pipe is leaking,large pothole on the road,Kodambakkam,0.44,17.3,MEDIUM,CRITICAL,1,0.048,NO_DEPENDENCY,0.248,0
POS_0507,Pothole / Road Damage,Poor Road Visibility,Road,Safety,multiple potholes reported,dark road section,Porur,2.41,16.3,LOW,HIGH,6,0.659,CONTRIBUTES_TO,0.571,1
NEG_1410,Pothole / Road Damage,Garbage Accumulation,Road,Waste,multiple potholes reported,uncollected garbage is present,Tambaram,6.04,4.1,HIGH,CRITICAL,10,0.163,NO_DEPENDENCY,0.255,0
NEG_0546,Emergency Response Delay,Air Pollution,Emergency,Environment,emergency movement is delayed,polluted air reported,Velachery,4.43,29.5,LOW,HIGH,0,0.048,NO_DEPENDENCY,0.173,0
POS_0496,Illegal Dumping,Waterlogging,Waste,Flooding,unauthorized dumping reported,heavy waterlogging reported,Sholinganallur,3.4,27.8,HIGH,CRITICAL,14,0.498,CONTRIBUTES_TO,0.588,1
NEG_0633,Stagnant Water,Blocked Drain,Public Health,Drainage,water is collecting,blocked drainage outlet,T Nagar,1.76,44.2,LOW,MEDIUM,15,0.04,NO_DEPENDENCY,0.274,0
POS_0001,Sewer Overflow,Stagnant Water,Drainage,Public Health,dirty wastewater is spreading,stagnant water remains,Anna Nagar,0.55,35.7,LOW,LOW,5,0.58,CAUSES,0.688,1
POS_0315,Poor Road Visibility,Safety Risk,Safety,Safety,visibility on road is poor,residents feel unsafe,Porur,0.54,25.5,HIGH,CRITICAL,3,0.643,CONTRIBUTES_TO,0.708,1
POS_1273,Sewer Overflow,Stagnant Water,Drainage,Public Health,dirty wastewater is spreading,stagnant water remains,Ambattur,3.92,46.6,CRITICAL,HIGH,7,0.665,CAUSES,0.686,1
NEG_0442,Traffic Congestion,Poor Road Visibility,Traffic,Safety,vehicles are queued,dark road section,Perambur,6.36,45.4,CRITICAL,MEDIUM,9,0.173,NO_DEPENDENCY,0.214,0
NEG_1468,Public Health Risk,Blocked Drain,Health,Drainage,possible health hazard,blocked drainage outlet,Mylapore,4.19,55.6,HIGH,CRITICAL,12,0.274,NO_DEPENDENCY,0.283,0
POS_1317,Garbage Accumulation,Public Health Risk,Waste,Health,large pile of waste reported,possible health hazard,Thiruvanmiyur,0.48,33.0,MEDIUM,CRITICAL,12,0.532,CAUSES,0.707,1
POS_0756,Waterlogging,Road Blockage,Flooding,Road,water has accumulated on the road,traffic lane is obstructed,Ambattur,3.61,32.1,CRITICAL,HIGH,8,0.667,CAUSES,0.721,1
NEG_0271,Pothole / Road Damage,Waterlogging,Road,Flooding,road surface is badly damaged,standing rainwater on the street,Guindy,3.85,29.9,CRITICAL,HIGH,11,0.437,NO_DEPENDENCY,0.353,0
POS_1201,Traffic Congestion,Emergency Response Delay,Traffic,Emergency,vehicles are queued,emergency access is difficult,Pallavaram,0.13,15.9,CRITICAL,CRITICAL,10,0.484,CAUSES,0.766,1
NEG_0675,Waterlogging,Emergency Response Delay,Flooding,Emergency,standing rainwater on the street,emergency vehicles cannot move quickly,Pallavaram,7.95,77.1,MEDIUM,LOW,5,0.309,NO_DEPENDENCY,0.184,0
NEG_0492,Road Blockage,Stagnant Water,Road,Public Health,road passage is blocked,pool of water has remained,Porur,3.3,15.5,LOW,MEDIUM,8,0.098,NO_DEPENDENCY,0.257,0
POS_0880,Illegal Dumping,Blocked Drain,Waste,Drainage,waste is being dumped illegally,stormwater drain is blocked,Sholinganallur,3.07,8.5,CRITICAL,MEDIUM,12,0.48,CONTRIBUTES_TO,0.691,1
POS_0766,Illegal Dumping,Waterlogging,Waste,Flooding,unauthorized dumping reported,road is flooded,Thiruvanmiyur,0.42,30.7,HIGH,MEDIUM,5,0.558,CONTRIBUTES_TO,0.648,1
POS_0928,Water Leakage,Stagnant Water,Water,Public Health,water pipe is leaking,standing water is not clearing,Mylapore,3.2,25.4,HIGH,HIGH,8,0.611,CAUSES,0.676,1
NEG_0878,Blocked Drain,Poor Road Visibility,Drainage,Safety,stormwater drain is blocked,dark road section,Royapettah,2.82,65.7,CRITICAL,MEDIUM,9,0.281,NO_DEPENDENCY,0.282,0
POS_1375,Street Light Failure,Poor Road Visibility,Lighting,Safety,dark street due to light failure,drivers cannot see clearly,Guindy,1.62,22.6,CRITICAL,CRITICAL,13,0.695,CAUSES,0.786,1
NEG_0315,Illegal Dumping,Traffic Congestion,Waste,Traffic,unauthorized dumping reported,vehicles are queued,T Nagar,1.77,33.9,HIGH,CRITICAL,4,0.123,NO_DEPENDENCY,0.252,0
NEG_0299,Street Light Failure,Water Leakage,Lighting,Water,streetlights are off,water pipe is leaking,Adyar,7.55,49.8,HIGH,HIGH,5,0.27,NO_DEPENDENCY,0.201,0
POS_0930,Water Leakage,Stagnant Water,Water,Public Health,pipeline leak near street,standing water is not clearing,Royapettah,0.57,31.3,HIGH,LOW,12,0.785,CAUSES,0.778,1
POS_0437,Illegal Dumping,Waterlogging,Waste,Flooding,garbage dumped beside road,standing rainwater on the street,Adyar,4.19,27.8,LOW,LOW,14,0.588,CONTRIBUTES_TO,0.536,1
POS_0197,Sewer Overflow,Stagnant Water,Drainage,Public Health,dirty wastewater is spreading,standing water is not clearing,T Nagar,0.31,37.0,LOW,MEDIUM,8,0.796,CAUSES,0.743,1
NEG_0263,Waterlogging,Air Pollution,Flooding,Environment,road is flooded,dust and pollution are increasing,Velachery,3.99,63.3,MEDIUM,HIGH,5,0.412,NO_DEPENDENCY,0.286,0
POS_1065,Illegal Dumping,Waterlogging,Waste,Flooding,open dumping observed,road is flooded,Guindy,3.45,29.3,HIGH,LOW,6,0.896,CONTRIBUTES_TO,0.644,1
NEG_0843,Street Light Failure,Water Leakage,Lighting,Water,roadside light has failed,damaged water supply line,Kodambakkam,1.04,52.3,LOW,CRITICAL,9,0.156,NO_DEPENDENCY,0.283,0
NEG_1029,Air Pollution,Poor Road Visibility,Environment,Safety,dust and pollution are increasing,dark road section,Sholinganallur,4.07,75.7,HIGH,HIGH,11,0.435,NO_DEPENDENCY,0.311,0
